Body, Pos x, Pos y, Pos z, , Vel x, Vel y, Vel z
0,0,0,0, ,0,0,0,
1,-0.997497,0.127171,-0.613392, ,0,0,0,
2,0.170019,-0.0402539,-0.299417, ,0,0,0,
3,0.64568,0.49321,-0.651784, ,0,0,0,
4,0.421003,0.0270699,-0.39201, ,0,0,0,
5,-0.817194,-0.271096,-0.705374, ,0,0,0,
6,0.97705,-0.108615,-0.761834, ,0,0,0,
7,-0.982177,-0.24424,0.0633259, ,0,0,0,
8,0.203528,0.214332,-0.667531, ,0,0,0,
9,-0.0984222,-0.295755,-0.885922, ,0,0,0,
10,0.566637,0.605213,0.0397656, ,0,0,0,
11,0.751945,0.453352,0.911801, ,0,0,0,
12,0.0787072,-0.715323,-0.0758385, ,0,0,0,
13,0.724479,-0.580798,0.559313, ,0,0,0,
14,0.993591,0.99939,0.222999, ,0,0,0,
15,-0.467574,-0.405438,0.680288, ,0,0,0,
16,-0.248268,-0.814753,0.354411, ,0,0,0,
17,-0.982421,0.83758,-0.448225, ,0,0,0,
18,0.175817,0.382366,0.675222, ,0,0,0,
19,-0.0301217,-0.589282,0.487472, ,0,0,0,
20,-0.0840785,0.898312,0.488876, ,0,0,0,
21,0.198096,-0.22953,0.470016, ,0,0,0,
22,0.14481,-0.277322,-0.69689, ,0,0,0,
23,-0.149693,0.605762,0.0342113, ,0,0,0,
24,0.503098,-0.308878,-0.662038, ,0,0,0,
25,-0.0162053,-0.872921,0.399518, ,0,0,0,
26,-0.705008,0.899167,-0.716849, ,0,0,0,
27,0.385785,-0.393902,-0.146886, ,0,0,0,
28,0.933226,0.366375,-0.693533, ,0,0,0,
29,0.643361,0.164098,-0.617298, ,0,0,0,
30,0.634388,-0.0494705,-0.688894, ,0,0,0,
31,0.464034,-0.188818,-0.44084, ,0,0,0,
32,0.364483,0.511704,0.443831, ,0,0,0,
33,-0.75396,-0.264382,0.669362, ,0,0,0,
34,0.0340282,0.325968,-0.147557, ,0,0,0,
35,0.898679,0.842769,0.0990936, ,0,0,0,
36,-0.0565508,-0.250038,0.69396, ,0,0,0,
37,-0.0878018,-0.456221,0.965941, ,0,0,0,
38,0.478378,0.134556,-0.60802, ,0,0,0,
39,0.678884,-0.204688,0.00180054, ,0,0,0,
40,-0.945067,0.989257,0.145177, ,0,0,0,
41,0.0626545,-0.611866,0.686087, ,0,0,0,
42,0.315226,-0.604297,0.684317, ,0,0,0,
43,-0.780145,0.486251,-0.371868, ,0,0,0,
44,-0.427839,-0.327372,-0.719474, ,0,0,0,
45,0.66924,0.415998,0.200476, ,0,0,0,
46,-0.494552,-0.711051,-0.996765, ,0,0,0,
47,0.612476,0.705252,-0.578845, ,0,0,0,
48,0.106418,-0.971496,-0.772454, ,0,0,0,
49,0.50444,0.372295,0.0868862, ,0,0,0,
0,0.000100989,1.06621e-05,-8.21099e-05, ,0.100989,0.0106621,-0.0821099,
1,-0.9974,0.127192,-0.613348, ,0.0978465,0.0209636,0.0439447,
2,0.170112,-0.0402338,-0.299466, ,0.0930253,0.0201214,-0.0485611,
3,0.645666,0.493054,-0.651714, ,-0.0140318,-0.155887,0.0701419,
4,0.420953,0.0270016,-0.392136, ,-0.0496075,-0.0682791,-0.125401,
5,-0.817093,-0.271035,-0.705328, ,0.100724,0.0611368,0.046037,
6,0.976876,-0.108543,-0.761743, ,-0.174063,0.0725271,0.0902841,
7,-0.9821,-0.244209,0.063295, ,0.0773185,0.0301546,-0.0308995,
8,0.203664,0.214233,-0.667406, ,0.136044,-0.0986416,0.125273,
9,-0.0983884,-0.295705,-0.885789, ,0.0337426,0.0500767,0.132433,
10,0.566634,0.605054,0.03981, ,-0.00355287,-0.158964,0.0443884,
11,0.751889,0.453323,0.911707, ,-0.0564713,-0.029577,-0.0940847,
12,0.0787308,-0.715213,-0.0758212, ,0.0235507,0.110651,0.0173198,
13,0.724396,-0.58073,0.559255, ,-0.0830722,0.0674596,-0.0576249,
14,0.993497,0.999258,0.22294, ,-0.0943741,-0.132041,-0.0591532,
15,-0.467464,-0.405417,0.680227, ,0.110465,0.0217116,-0.0612261,
16,-0.248102,-0.814658,0.354426, ,0.165878,0.0945126,0.0147712,
17,-0.982302,0.837493,-0.448243, ,0.119803,-0.086971,-0.018058,
18,0.175872,0.382337,0.675102, ,0.0553314,-0.0292472,-0.120286,
19,-0.0300127,-0.589246,0.487533, ,0.109067,0.0357924,0.06056,
20,-0.0840356,0.89821,0.488809, ,0.0428856,-0.102644,-0.0668774,
21,0.198083,-0.229539,0.469973, ,-0.0127788,-0.00938073,-0.0420374,
22,0.144858,-0.27722,-0.696804, ,0.0478442,0.101736,0.0861008,
23,-0.149636,0.605681,0.0341836, ,0.0576931,-0.0811701,-0.0277233,
24,0.503034,-0.308668,-0.661888, ,-0.0640484,0.209419,0.149745,
25,-0.0161774,-0.872752,0.399525, ,0.027872,0.169348,0.00753388,
26,-0.704982,0.899086,-0.716787, ,0.0265105,-0.0805482,0.0619688,
27,0.385786,-0.393744,-0.146923, ,0.00131808,0.158414,-0.0373627,
28,0.933025,0.366341,-0.693455, ,-0.20081,-0.0338766,0.0780417,
29,0.643034,0.16401,-0.617252, ,-0.32631,-0.0883407,0.0456279,
30,0.634188,-0.049374,-0.68872, ,-0.200554,0.0964505,0.174132,
31,0.463983,-0.188704,-0.440911, ,-0.0513136,0.113798,-0.0706773,
